Date;Price
14.04.2016;187,416
13.04.2016;186,4358
12.04.2016;182,4254
11.04.2016;179,9869
08.04.2016;180,3739
07.04.2016;179,5501
06.04.2016;180,8015
05.04.2016;179,3577
04.04.2016;181,7838
01.04.2016;182,2841
31.03.2016;182,4866
30.03.2016;183,5377
29.03.2016;184,1553
28.03.2016;182,6647
25.03.2016;183,0982
24.03.2016;182,9781
23.03.2016;183,8718
22.03.2016;184,4561
21.03.2016;183,8857
18.03.2016;183,4875
17.03.2016;182,5939
16.03.2016;183,7679
15.03.2016;182,8933
14.03.2016;184,1149
11.03.2016;183,0551
10.03.2016;180,0507
09.03.2016;182,3305
08.03.2016;181,1202
07.03.2016;183,8601
04.03.2016;183,4074
03.03.2016;183,4086
02.03.2016;183,7871
01.03.2016;181,528
29.02.2016;178,197
26.02.2016;177,9369
25.02.2016;176,0432
24.02.2016;174,2225
23.02.2016;174,98
22.02.2016;176,8088
19.02.2016;173,3248
18.02.2016;174,0859
17.02.2016;173,3511
16.02.2016;170,5971
15.02.2016;168,8349
12.02.2016;165,2314
11.02.2016;162,0582
10.02.2016;166,3881
09.02.2016;164,8435
08.02.2016;168,3379
05.02.2016;171,0851
04.02.2016;173,2059
03.02.2016;173,842
02.02.2016;176,1711
01.02.2016;179,4669
29.01.2016;180,2017
28.01.2016;174,73
27.01.2016;175,5428
26.01.2016;176,1683
25.01.2016;175,0852
22.01.2016;176,7187
21.01.2016;172,1566
20.01.2016;170,4451
19.01.2016;173,8926
18.01.2016;173,3378
15.01.2016;172,9829
14.01.2016;178,0212
13.01.2016;177,5142
12.01.2016;179,559
11.01.2016;178,6694
08.01.2016;178,6134
07.01.2016;181,333
06.01.2016;186,7794
05.01.2016;189,6134
04.01.2016;188,1572
31.12.2015;191,0638
30.12.2015;191,5241
29.12.2015;192,7852
28.12.2015;190,0283
24.12.2015;190,7004
23.12.2015;191,7976
21.12.2015;187,4808
18.12.2015;188,1545
17.12.2015;190,7767
16.12.2015;190,0527
15.12.2015;187,9131
14.12.2015;184,4282
11.12.2015;185,5596
10.12.2015;189,6149
09.12.2015;189,3598
08.12.2015;191,6007
07.12.2015;193,8638
04.12.2015;194,1689
03.12.2015;193,2723
02.12.2015;200,3461
01.12.2015;201,2488
30.11.2015;200,1713
27.11.2015;200,4456
26.11.2015;200,6217
25.11.2015;200,2421
24.11.2015;199,3269
23.11.2015;199,9754
20.11.2015;199,6474
19.11.2015;198,0129
18.11.2015;198,3848
17.11.2015;196,6988
16.11.2015;194,2981
13.11.2015;192,8076
12.11.2015;194,4954
11.11.2015;197,0626
10.11.2015;197,551
09.11.2015;196,93
06.11.2015;198,5217
05.11.2015;197,1951
04.11.2015;197,6068
03.11.2015;196,1486
02.11.2015;194,2212
30.10.2015;193,0015
29.10.2015;194,5598
28.10.2015;193,774
27.10.2015;192,2593
26.10.2015;193,288
23.10.2015;193,7561
22.10.2015;189,5601
21.10.2015;184,6685
20.10.2015;185,4424
19.10.2015;186,2664
16.10.2015;185,489
15.10.2015;184,5518
14.10.2015;181,1766
13.10.2015;183,0775
12.10.2015;184,6334
09.10.2015;184,7505
08.10.2015;184,7528
07.10.2015;184,4457
06.10.2015;182,2664
05.10.2015;182,5919
02.10.2015;178,1331
01.10.2015;177,1961
30.09.2015;177,1081
29.09.2015;172,6965
28.09.2015;173,9449
25.09.2015;178,0296
24.09.2015;175,4151
23.09.2015;178,7404
22.09.2015;179,6969
21.09.2015;181,705
18.09.2015;179,2649
17.09.2015;182,3801
16.09.2015;182,7004
15.09.2015;180,7008
14.09.2015;179,0639
11.09.2015;179,7122
10.09.2015;180,596
09.09.2015;181,8613
08.09.2015;181,0243
07.09.2015;178,3091
04.09.2015;178,9189
03.09.2015;182,2686
02.09.2015;179,2487
01.09.2015;177,3795
31.08.2015;183,1048
28.08.2015;184,1362
27.08.2015;183,3097
26.08.2015;176,3404
25.08.2015;173,0353
24.08.2015;170,7606
21.08.2015;181,6988
20.08.2015;188,6061
19.08.2015;194,1938
18.08.2015;196,5805
17.08.2015;196,4829
14.08.2015;195,4952
13.08.2015;194,973
12.08.2015;193,8327
11.08.2015;197,4
10.08.2015;200,5394
07.08.2015;199,2415
06.08.2015;200,2648
05.08.2015;202,2767
04.08.2015;200,1405
03.08.2015;200,108
31.07.2015;199,4191
30.07.2015;200,9101
29.07.2015;199,1674
28.07.2015;197,4635
27.07.2015;194,9833
24.07.2015;199,0229
23.07.2015;200,8451
22.07.2015;203,0008
21.07.2015;203,5539
20.07.2015;205,2207
17.07.2015;205,4031
16.07.2015;204,5759
15.07.2015;202,0826
14.07.2015;201,4485
13.07.2015;200,2014
10.07.2015;195,5236
09.07.2015;194,8594
08.07.2015;193,109
07.07.2015;197,7931
06.07.2015;196,055
03.07.2015;197,5825
02.07.2015;197,9396
01.07.2015;197,965
30.06.2015;196,0799
29.06.2015;195,8405
26.06.2015;200,3371
25.06.2015;200,063
24.06.2015;200,7121
23.06.2015;201,7005
22.06.2015;197,8516
19.06.2015;196,6429
18.06.2015;195,9914
17.06.2015;196,9106
16.06.2015;196,9647
15.06.2015;196,0715
12.06.2015;197,3071
11.06.2015;198,7699
10.06.2015;197,2853
09.06.2015;195,6437
08.06.2015;196,5149
05.06.2015;199,1243
04.06.2015;197,6915
03.06.2015;199,5658
02.06.2015;201,3244
01.06.2015;205,2314
29.05.2015;204,1129
28.05.2015;206,3102
27.05.2015;207,5322
26.05.2015;205,9645
25.05.2015;206,1104
22.05.2015;206,1246
20.05.2015;204,6198
19.05.2015;204,2222
18.05.2015;200,44
15.05.2015;198,9567
14.05.2015;199,4788
13.05.2015;198,5512
12.05.2015;199,7714
11.05.2015;202,0213
08.05.2015;201,3017
07.05.2015;197,7686
06.05.2015;196,7641
05.05.2015;199,8919
04.05.2015;202,0939
30.04.2015;200,0108
29.04.2015;202,9793
28.04.2015;207,0197
27.04.2015;208,6503
24.04.2015;208,7091
23.04.2015;208,9964
22.04.2015;209,7516
21.04.2015;208,7783
20.04.2015;208,0321
17.04.2015;206,7562
16.04.2015;210,2517
15.04.2015;211,3997
14.04.2015;209,2734
13.04.2015;210,967
10.04.2015;210,5251
09.04.2015;208,5656
08.04.2015;205,6345
07.04.2015;203,7429
06.04.2015;200,5426
02.04.2015;201,4958
31.03.2015;202,8394
30.03.2015;202,7399
27.03.2015;200,0875
26.03.2015;199,5434
25.03.2015;199,7413
24.03.2015;202,9103
23.03.2015;203,0367
20.03.2015;205,0359
19.03.2015;205,7663
18.03.2015;205,4652
17.03.2015;204,1959
16.03.2015;204,8822
13.03.2015;203,8044
12.03.2015;203,1084
11.03.2015;201,8441
10.03.2015;199,5213
09.03.2015;200,3193
06.03.2015;200,2976
05.03.2015;199,52
04.03.2015;198,5192
03.03.2015;197,3996
02.03.2015;198,0353
27.02.2015;197,314
26.02.2015;197,5497
25.02.2015;195,2902
24.02.2015;195,3258
23.02.2015;194,467
20.02.2015;194,0313
19.02.2015;192,9415
18.02.2015;193,2269
17.02.2015;192,1244
16.02.2015;191,8441
13.02.2015;191,8613
12.02.2015;190,9663
11.02.2015;189,9259
10.02.2015;190,099
09.02.2015;188,8785
06.02.2015;189,4599
05.02.2015;188,7753
04.02.2015;187,6077
03.02.2015;187,1159
02.02.2015;186,5277
30.01.2015;185,793
29.01.2015;186,7524
28.01.2015;186,4745
27.01.2015;187,198
26.01.2015;190,2706
23.01.2015;189,9514
22.01.2015;187,2876
21.01.2015;182,8164
20.01.2015;181,7872
19.01.2015;180,4362
16.01.2015;181,9853
15.01.2015;179,3981
14.01.2015;176,5317
13.01.2015;177,9197
12.01.2015;177,1403
09.01.2015;177,6801
08.01.2015;179,2462
07.01.2015;175,7046
06.01.2015;173,1093
05.01.2015;174,5532
02.01.2015;176,5555
31.12.2014;176,0206
30.12.2014;176,1079
26.12.2014;176,7039
24.12.2014;176,0957
19.12.2014;174,0488
17.12.2014;167,6786
16.12.2014;164,4795
15.12.2014;165,7986
12.12.2014;167,3729
11.12.2014;170,7629
10.12.2014;170,4504
09.12.2014;172,5871
08.12.2014;175,0711
05.12.2014;176,2382
03.12.2014;175,9994
02.12.2014;174,4657
01.12.2014;172,8949
28.11.2014;174,2533
26.11.2014;174,2768
25.11.2014;174,3442
24.11.2014;174,8149
21.11.2014;174,7665
20.11.2014;171,661
19.11.2014;171,5808
18.11.2014;171,985
17.11.2014;171,7696
14.11.2014;171,7366
13.11.2014;171,7521
12.11.2014;171,646
11.11.2014;172,4459
10.11.2014;172,0745
07.11.2014;171,6027
05.11.2014;170,6609
04.11.2014;168,9301
03.11.2014;170,2462
31.10.2014;170,5469
30.10.2014;167,4756
29.10.2014;165,3324
28.10.2014;165,1246
27.10.2014;163,7622
24.10.2014;164,5362
23.10.2014;164,0461
22.10.2014;162,7681
21.10.2014;162,2023
20.10.2014;159,3587
17.10.2014;158,345
16.10.2014;156,2364
15.10.2014;156,9383
14.10.2014;159,6087
13.10.2014;159,6867
10.10.2014;161,5094
09.10.2014;163,0359
08.10.2014;165,004
07.10.2014;164,8791
06.10.2014;167,2981
03.10.2014;167,4286
02.10.2014;164,8144
30.09.2014;167,9934
29.09.2014;167,6797
26.09.2014;168,3056
25.09.2014;167,1462
24.09.2014;168,4367
23.09.2014;166,8967
22.09.2014;168,4405
19.09.2014;169,6501
18.09.2014;168,8248
17.09.2014;167,7951
16.09.2014;167,632
15.09.2014;167,2212
12.09.2014;167,5453
11.09.2014;168,2944
10.09.2014;168,5887
09.09.2014;168,5895
08.09.2014;169,231
05.09.2014;169,662
04.09.2014;169,4359
03.09.2014;167,5215
02.09.2014;167,0328
01.09.2014;167,0041
29.08.2014;166,5368
28.08.2014;166,0983
27.08.2014;166,3957
26.08.2014;166,1245
25.08.2014;165,8197
22.08.2014;164,5787
21.08.2014;164,3845
20.08.2014;163,8945
19.08.2014;163,3883
18.08.2014;162,0653
15.08.2014;160,6898
14.08.2014;160,7969
13.08.2014;160,1887
12.08.2014;159,5083
11.08.2014;159,2866
08.08.2014;157,7701
06.08.2014;158,8391
05.08.2014;159,1679
04.08.2014;159,663
01.08.2014;159,03
31.07.2014;160,426
30.07.2014;162,8052
29.07.2014;162,7655
28.07.2014;162,724
25.07.2014;162,7971
23.07.2014;162,892
22.07.2014;162,5083
21.07.2014;160,8
18.07.2014;161,2772
17.07.2014;160,4063
16.07.2014;161,6127
15.07.2014;160,3574
14.07.2014;160,0879
11.07.2014;159,4218
10.07.2014;159,3243
09.07.2014;159,7843
08.07.2014;159,7889
07.07.2014;161,0505
04.07.2014;161,8108
03.07.2014;161,6033
02.07.2014;160,4553
01.07.2014;159,8069
30.06.2014;158,7252
27.06.2014;159,0315
26.06.2014;159,3376
25.06.2014;158,7816
24.06.2014;159,2726
23.06.2014;159,9108
20.06.2014;160,2204
19.06.2014;159,7386
18.06.2014;159,4617
17.06.2014;159,0231
16.06.2014;158,6124
13.06.2014;159,1645
12.06.2014;158,8442
11.06.2014;159,5217
10.06.2014;159,7088
09.06.2014;159,0505
06.06.2014;158,3233
05.06.2014;157,7051
04.06.2014;156,9155
03.06.2014;156,8275
02.06.2014;156,9777
30.05.2014;156,3251
29.05.2014;156,6867
28.05.2014;156,2869
27.05.2014;156,1084
26.05.2014;155,453
23.05.2014;155,2668
22.05.2014;154,4935
20.05.2014;152,6652
19.05.2014;153,1076
16.05.2014;153,0199
15.05.2014;152,7046
14.05.2014;153,8118
13.05.2014;153,89
12.05.2014;152,9548
09.05.2014;151,8418
08.05.2014;150,952
